timestamp,power_watts
2026-03-12T14:28:20.583509,35.153
2026-03-12T14:28:20.591593,35.153
2026-03-12T14:28:20.601663,35.153
2026-03-12T14:28:20.611899,35.153
2026-03-12T14:28:20.621977,35.153
2026-03-12T14:28:20.632045,35.153
2026-03-12T14:28:20.642229,35.153
2026-03-12T14:28:20.652532,35.046
2026-03-12T14:28:20.664042,35.046
2026-03-12T14:28:20.674540,35.046
2026-03-12T14:28:20.685151,35.046
2026-03-12T14:28:20.695232,35.046
2026-03-12T14:28:20.705279,35.046
2026-03-12T14:28:20.715435,35.046
2026-03-12T14:28:20.725529,35.046
2026-03-12T14:28:20.735680,35.046
2026-03-12T14:28:20.745829,35.046
2026-03-12T14:28:20.755995,35.046
2026-03-12T14:28:20.766143,35.046
2026-03-12T14:28:20.776285,35.046
2026-03-12T14:28:20.786434,35.046
2026-03-12T14:28:20.796581,35.046
2026-03-12T14:28:20.806728,35.046
2026-03-12T14:28:20.816872,35.046
2026-03-12T14:28:20.827029,35.046
2026-03-12T14:28:20.837115,35.046
2026-03-12T14:28:20.847263,35.046
2026-03-12T14:28:20.857410,35.046
2026-03-12T14:28:20.867551,35.046
2026-03-12T14:28:20.877706,35.046
2026-03-12T14:28:20.887862,35.046
2026-03-12T14:28:20.898001,35.046
2026-03-12T14:28:20.908143,35.046
2026-03-12T14:28:20.918293,35.046
2026-03-12T14:28:20.928420,35.046
2026-03-12T14:28:20.938580,35.046
2026-03-12T14:28:20.948745,35.046
2026-03-12T14:28:20.958870,35.046
2026-03-12T14:28:20.968954,35.046
2026-03-12T14:28:20.979095,35.046
2026-03-12T14:28:20.989183,35.046
2026-03-12T14:28:20.999328,35.046
2026-03-12T14:28:21.009414,35.046
2026-03-12T14:28:21.019561,35.046
2026-03-12T14:28:21.029702,35.046
2026-03-12T14:28:21.039849,35.046
2026-03-12T14:28:21.049928,35.046
2026-03-12T14:28:21.060070,35.046
2026-03-12T14:28:21.070217,35.046
2026-03-12T14:28:21.080363,35.046
2026-03-12T14:28:21.090501,35.046
2026-03-12T14:28:21.100610,35.046
2026-03-12T14:28:21.110680,35.046
2026-03-12T14:28:21.120836,35.046
2026-03-12T14:28:21.130981,35.046
2026-03-12T14:28:21.141065,35.046
2026-03-12T14:28:21.151208,35.846
2026-03-12T14:28:21.161364,35.846
2026-03-12T14:28:21.171509,35.846
2026-03-12T14:28:21.181658,35.846
2026-03-12T14:28:21.191806,35.846
2026-03-12T14:28:21.201945,35.846
2026-03-12T14:28:21.212095,35.846
2026-03-12T14:28:21.222238,35.846
2026-03-12T14:28:21.232381,35.846
2026-03-12T14:28:21.242526,35.846
2026-03-12T14:28:21.252677,35.846
2026-03-12T14:28:21.262828,35.846
2026-03-12T14:28:21.272982,35.846
2026-03-12T14:28:21.283126,35.846
2026-03-12T14:28:21.293213,35.846
2026-03-12T14:28:21.303361,35.846
2026-03-12T14:28:21.313509,35.846
2026-03-12T14:28:21.323653,35.846
2026-03-12T14:28:21.333810,35.846
2026-03-12T14:28:21.343956,35.846
2026-03-12T14:28:21.354099,35.846
2026-03-12T14:28:21.364243,35.846
2026-03-12T14:28:21.374387,35.846
2026-03-12T14:28:21.384535,35.846
2026-03-12T14:28:21.394684,35.846
2026-03-12T14:28:21.404831,35.846
2026-03-12T14:28:21.414983,35.846
2026-03-12T14:28:21.425069,35.846
2026-03-12T14:28:21.435214,35.846
2026-03-12T14:28:21.445301,35.846
2026-03-12T14:28:21.455448,35.846
2026-03-12T14:28:21.465638,35.846
2026-03-12T14:28:21.475791,35.846
2026-03-12T14:28:21.485937,35.846
