timestamp,power_watts
2026-03-12T13:54:54.760000,21.08
2026-03-12T13:54:54.860000,21.08
2026-03-12T13:54:54.961000,21.08
2026-03-12T13:54:55.061000,21.08
2026-03-12T13:54:55.161000,21.08
2026-03-12T13:54:55.261000,21.08
2026-03-12T13:54:55.361000,21.08
2026-03-12T13:54:55.461000,21.08
2026-03-12T13:54:55.562000,21.08
2026-03-12T13:54:55.662000,21.08
2026-03-12T13:54:55.762000,21.08
2026-03-12T13:54:55.862000,21.08
2026-03-12T13:54:55.962000,21.08
2026-03-12T13:54:56.063000,21.08
2026-03-12T13:54:56.163000,21.09
2026-03-12T13:54:56.263000,21.09
2026-03-12T13:54:56.363000,21.09
2026-03-12T13:54:56.463000,21.09
2026-03-12T13:54:56.563000,21.09
2026-03-12T13:54:56.664000,21.09
2026-03-12T13:54:56.764000,21.09
2026-03-12T13:54:56.864000,21.09
2026-03-12T13:54:56.964000,21.09
2026-03-12T13:54:57.064000,21.09
2026-03-12T13:54:57.164000,21.08
2026-03-12T13:54:57.265000,21.08
2026-03-12T13:54:57.365000,21.08
2026-03-12T13:54:57.465000,21.08
2026-03-12T13:54:57.565000,21.08
2026-03-12T13:54:57.665000,21.08
2026-03-12T13:54:57.765000,21.08
2026-03-12T13:54:57.866000,21.08
2026-03-12T13:54:57.966000,21.08
2026-03-12T13:54:58.066000,21.08
2026-03-12T13:54:58.166000,21.07
2026-03-12T13:54:58.266000,21.07
2026-03-12T13:54:58.366000,21.07
2026-03-12T13:54:58.467000,21.07
2026-03-12T13:54:58.567000,21.07
2026-03-12T13:54:58.667000,21.07
2026-03-12T13:54:58.767000,21.07
2026-03-12T13:54:58.867000,21.07
2026-03-12T13:54:58.968000,21.07
2026-03-12T13:54:59.068000,21.07
2026-03-12T13:54:59.168000,21.08
2026-03-12T13:54:59.268000,21.08
2026-03-12T13:54:59.369000,21.08
2026-03-12T13:54:59.469000,21.08
2026-03-12T13:54:59.569000,21.08
